zip,median_household_income,median_home_value,pct_bachelors,median_gross_rent,median_year_built
85003,60461,616800,43.18,1392,1974
85004,73750,417400,60.63,1834,2011
85006,58248,408100,26.14,1270,1961
85007,63616,480600,26.4,1116,1958
85008,66353,358000,25.87,1403,1980
85009,52054,236100,7.98,1208,1963
85012,86620,735000,61.25,1746,1978
85013,71966,567700,9.72,1585,1965
85014,66731,476100,45.93,1428,1975
85015,54874,345000,26.42,1287,1971
85016,87850,564900,54.34,1687,1977
85017,58346,286700,11.75,1299,1967
85018,93885,862000,58.5,1537,1970
85019,68528,305200,12.21,1469,1967
85020,83735,447200,43.39,1530,1978
85021,59768,470400,35.56,1313,1977
85022,69927,425200,38.72,1623,1986
85023,77369,391200,32.79,1577,1984
85024,106724,471000,46.85,1943,1996
85027,76605,354800,30.4,1607,1988
85028,125054,642200,58.65,1850,1976
85029,64556,345600,24.22,1455,1975
85031,70412,294800,8.88,1647,1959
85032,78643,416800,35.06,1609,1984
85033,64144,292800,7.8,1457,1976
85034,63559,422200,31.25,1479,2001
85035,60440,275600,8.63,1481,1979
85037,84016,330200,14.15,1800,1994
85040,60727,329800,15.39,1259,1984
85041,75301,347100,19.68,1739,2001
85042,88717,398000,34.86,1668,1992
85043,78257,343400,15.43,1697,2004
85044,96820,474800,51.27,1874,1988
85045,153583,634600,63.62,2430,1999
85048,122833,592100,61.84,2086,1995
85050,139836,618600,58.44,2377,1999
85051,69189,326300,19.31,1322,1973
85053,70011,367000,27.91,1452,1978
85054,91507,687200,60.39,2239,2010
85083,149087,612700,51.38,2375,2005
85085,128984,669100,53.67,1944,2008
85086,121676,598900,43.73,2330,2004
85087,138566,552300,31.02,2280,2004
85201,67294,328800,27.75,1445,1981
85202,71619,370900,34.63,1594,1979
85203,73578,439100,28.37,1534,1979
85204,72216,351300,20.46,1566,1980
85205,73283,339900,31.12,1446,1986
85206,75607,357900,32.6,1818,1989
85207,108699,505000,37.97,1791,2001
85208,69390,286200,22.45,1631,1990
85209,84432,402900,35.3,1864,2001
85210,61957,337800,23.9,1497,1982
85212,125902,584000,42.37,2209,2011
85213,103969,438900,41.26,1730,1988
85215,98831,441000,39.48,1958,1993
85224,94516,438700,40.52,1923,1989
85225,88676,430400,35.51,1738,1992
85226,114817,483800,50.55,1892,1992
85233,111160,513000,43.36,1972,1994
85234,121102,550900,47.54,1964,1994
85248,94495,527800,51.75,1907,1997
85249,153633,660600,55.63,2392,2006
85250,95761,583300,56.72,1898,1976
85251,92851,554400,60.73,1867,1979
85254,123203,785700,62.4,2156,1986
85255,140616,1036800,66.89,2483,2000
85256,44844,190500,12.42,564,1988
85257,86962,506300,47.78,1849,1971
85258,114111,846000,68.15,2170,1984
85259,137895,1011200,67.21,1878,1995
85260,97177,698200,59.32,2132,1993
85262,177790,1287300,58.3,2899,2005
85263,145053,851000,64.63,2332,2002
85264,60729,369200,14.66,595,1997
85266,151923,1128500,67.24,3136,2000
85268,112795,623400,50.39,1890,1994
85281,64538,381000,50.07,1677,1990
85282,79036,412000,43.71,1745,1977
85283,84568,442800,44.47,1767,1982
85284,156146,688400,69.69,2236,1990
85286,121758,601900,54.79,2109,2006
85295,118467,579500,48.61,2037,2007
85296,118982,561400,49.31,2227,2002
85297,130755,600600,46.62,2302,2007
85298,156425,652400,53.47,2785,2009
85301,53827,255300,11.3,1324,1977
85302,65132,364100,19.75,1332,1979
85303,80650,333600,14.4,1567,1992
85304,86927,379700,24.83,1514,1982
85305,88167,452300,27.52,1967,2006
85306,84779,392500,27.79,1730,1982
85307,82888,395700,27.44,1850,1999
85308,95247,458100,38.59,1873,1992
85310,122137,552900,45.3,2334,1995
85323,83120,370200,17.57,1825,2004
85326,89876,373300,16.75,1770,2007
85331,129083,741700,54.52,2595,1999
85333,39722,206900,24.1,1054,1983
85335,78050,321900,15.76,1806,2004
85337,55365,116500,12.84,1069,1976
85338,101744,436300,33.19,1918,2007
85339,110602,441600,29.96,2120,2006
85340,122323,547500,37.4,2072,2006
85345,67380,319800,19.15,1697,1988
85351,53725,274000,24.91,1560,1972
85353,94154,388700,14.53,1799,2006
85354,64203,330800,13.7,1395,2002
85355,123055,494000,24.68,2477,2006
85361,77361,412400,17.75,791,2004
85363,68321,320000,14.43,1157,1980
85373,72063,348500,30.93,1968,1981
85374,81201,395400,30.53,1928,2001
85375,63928,377900,34.71,1678,1989
85377,149167,1077500,64.06,1538,1987
85378,56444,274500,16.44,1514,1996
85379,110616,448200,29.79,2095,2006
85381,96746,447900,34.41,1762,1994
85382,91525,438300,38.58,1939,1997
85383,145546,661400,50.92,2355,2010
85387,98757,481000,34.39,2579,2010
85388,112164,459900,31.93,2155,2006
85390,68591,499200,34.99,1034,1993
85392,87702,418900,25.71,1848,1999
85395,105935,564800,39.03,2024,2007
85396,114056,482900,35.14,2243,2013
