"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","60461","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","73750","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","58248","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","63616","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","66353","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","52054","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","86620","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","71966","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","66731","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","54874","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","87850","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","58346","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","93885","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","68528","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","83735","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","59768","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","69927","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","77369","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","106724","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","76605","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","125054","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","64556","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","70412","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","78643","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","64144","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","63559","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","60440","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","84016","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","60727","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","75301","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","88717","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","78257","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","96820","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","153583","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","122833","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","139836","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","69189","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","70011","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","91507","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","149087","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","128984","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","121676","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","138566","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85201","AZ","85201","=""85201""","67294","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","71619","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","73578","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85204","AZ","85204","=""85204""","72216","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85205","AZ","85205","=""85205""","73283","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85206","AZ","85206","=""85206""","75607","2020-2024","2020","Census","Maricopa (County, 2022)"
