"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Year Built","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mysb","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","1974","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","2011","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","1961","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","1958","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","1980","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","1963","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","1978","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","1965","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","1975","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","1971","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","1977","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","1967","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","1970","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","1967","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","1978","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","1977","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","1986","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","1984","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","1996","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","1976","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","1975","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","1959","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","1984","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","1976","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","1994","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","1984","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","1992","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","1999","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","1995","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","1999","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","1973","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","1978","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","2010","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","2005","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","2008","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85201","AZ","85201","=""85201""","1981","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85204","AZ","85204","=""85204""","1980","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85205","AZ","85205","=""85205""","1986","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85206","AZ","85206","=""85206""","1989","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85207","AZ","85207","=""85207""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","1990","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","1982","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","2011","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
