"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","43.18","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","60.63","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","26.14","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","26.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","25.87","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","7.98","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","61.25","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","44.65","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","45.93","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","26.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","54.34","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","11.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","58.50","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","12.21","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","43.39","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","35.56","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","38.72","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","32.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","46.85","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","30.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","58.65","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","24.22","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","8.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","35.06","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","7.80","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","31.25","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","8.63","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","14.15","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","15.39","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","19.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","34.86","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","15.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","51.27","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","63.62","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","61.84","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","58.44","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","19.31","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","27.91","2020-2024","2020","Census","Maricopa (County, 2022)"
